endpoint,error,height,operand1,operand2,operation,problemType,result,rt,subject_nr,width
6.60714285714,0.607142857143,1050,6,0,+,target,6,1229,121,1680
3.40029761905,-0.599702380952,1050,7,3,-,filler,4,1717,121,1680
8.19196428571,0.191964285714,1050,8,0,-,target,8,1941,121,1680
3.28125,0.28125,1050,7,4,-,filler,3,2782,121,1680
2.97619047619,-0.0238095238095,1050,3,0,+,target,3,1765,121,1680
6.31696428571,0.316964285714,1050,8,2,-,target,6,1565,121,1680
3.66071428571,-0.339285714286,1050,6,2,-,target,4,1580,121,1680
3.18452380952,-0.815476190476,1050,4,0,+,target,4,1597,121,1680
6.36904761905,0.369047619048,1050,2,4,+,filler,6,1181,121,1680
7.48511904762,0.485119047619,1050,2,5,+,filler,7,1485,121,1680
6.74107142857,0.741071428571,1050,6,0,+,target,6,2197,121,1680
6.44345238095,0.443452380952,1050,6,0,-,target,6,1086,121,1680
2.80505952381,-0.19494047619,1050,8,5,-,filler,3,2013,121,1680
7.02380952381,0.0238095238095,1050,7,0,+,target,7,2765,121,1680
1.36904761905,-0.630952380952,1050,6,4,-,filler,2,1541,121,1680
6.98660714286,-0.0133928571429,1050,7,0,-,target,7,2228,121,1680
6.44345238095,0.443452380952,1050,3,3,+,filler,6,1373,121,1680
6.6369047619,0.636904761905,1050,5,1,+,target,6,1509,121,1680
2.85714285714,-0.142857142857,1050,3,0,-,target,3,2598,121,1680
3.19196428571,-0.808035714286,1050,8,4,-,filler,4,2101,121,1680
3.39285714286,-0.607142857143,1050,2,2,+,target,4,1229,121,1680
6.36904761905,0.369047619048,1050,7,1,-,target,6,1814,121,1680
7.32142857143,0.321428571429,1050,7,0,-,target,7,1684,121,1680
0.625,-0.375,1050,6,5,-,filler,1,1525,121,1680
9.10714285714,0.107142857143,1050,5,4,+,filler,9,2037,121,1680
8.95833333333,-0.0416666666667,1050,4,5,+,filler,9,1109,121,1680
0.997023809524,-1.00297619048,1050,2,0,+,target,2,1493,121,1680
3.40773809524,-0.592261904762,1050,3,1,+,target,4,1117,121,1680
3.49702380952,-0.502976190476,1050,4,0,+,target,4,789,121,1680
6.33928571429,0.339285714286,1050,2,4,+,filler,6,1085,121,1680
7.78273809524,-0.217261904762,1050,4,4,+,filler,8,1157,121,1680
6.33928571429,0.339285714286,1050,6,0,-,target,6,1365,121,1680
7.5,0.5,1050,2,5,+,filler,7,1188,121,1680
1.08630952381,-0.91369047619,1050,2,0,-,target,2,1205,121,1680
3.22172619048,-0.778273809524,1050,3,1,+,target,4,1421,121,1680
3.79464285714,-0.205357142857,1050,4,0,-,target,4,821,121,1680
3.91369047619,-0.0863095238095,1050,2,2,+,target,4,860,121,1680
6.10119047619,0.10119047619,1050,3,3,+,filler,6,1133,121,1680
7.15773809524,0.157738095238,1050,3,4,+,filler,7,1164,121,1680
3.22916666667,-0.770833333333,1050,7,3,-,filler,4,1421,121,1680
9.12202380952,0.122023809524,1050,4,5,+,filler,9,1917,121,1680
1.83035714286,-0.169642857143,1050,7,5,-,filler,2,1693,121,1680
7.82738095238,-0.172619047619,1050,3,5,+,filler,8,2125,121,1680
3.00595238095,-0.994047619048,1050,5,1,-,target,4,1678,121,1680
1.67410714286,-0.325892857143,1050,2,0,-,target,2,1260,121,1680
0.766369047619,-0.233630952381,1050,5,4,-,filler,1,1941,121,1680
3.62351190476,-0.376488095238,1050,8,4,-,filler,4,1461,121,1680
8.40773809524,0.407738095238,1050,8,0,-,target,8,1701,121,1680
1.27976190476,-0.720238095238,1050,2,0,+,target,2,1397,121,1680
2.48511904762,-0.514880952381,1050,7,4,-,filler,3,2077,121,1680
0.669642857143,-0.330357142857,1050,6,5,-,filler,1,1613,121,1680
8.28869047619,0.28869047619,1050,3,5,+,filler,8,1830,121,1680
3.69047619048,-0.309523809524,1050,6,2,-,target,4,2269,121,1680
0.907738095238,-0.0922619047619,1050,5,4,-,filler,1,1509,121,1680
6.08630952381,0.0863095238095,1050,7,1,-,target,6,1572,121,1680
6.19047619048,0.190476190476,1050,4,2,+,target,6,1598,121,1680
8.86160714286,-0.138392857143,1050,5,4,+,filler,9,1797,121,1680
0.818452380952,-1.18154761905,1050,7,5,-,filler,2,4125,121,1680
7.30654761905,0.306547619048,1050,7,0,+,target,7,1493,121,1680
7.8943452381,-0.105654761905,1050,8,0,+,target,8,1333,121,1680
6.31696428571,0.316964285714,1050,8,2,-,target,6,1421,121,1680
6.23511904762,0.235119047619,1050,4,2,+,target,6,1484,121,1680
7.79761904762,0.797619047619,1050,3,4,+,filler,7,1405,121,1680
1.40625,-0.59375,1050,6,4,-,filler,2,1821,121,1680
7.75297619048,-0.247023809524,1050,8,0,+,target,8,2293,121,1680
2.97619047619,-0.0238095238095,1050,3,0,-,target,3,1781,121,1680
2.8869047619,-0.113095238095,1050,3,0,+,target,3,1205,121,1680
3.61607142857,-0.383928571429,1050,4,0,-,target,4,997,121,1680
2.4255952381,-0.574404761905,1050,8,5,-,filler,3,1821,121,1680
7.58928571429,-0.410714285714,1050,4,4,+,filler,8,1885,121,1680
3.21428571429,-0.785714285714,1050,5,1,-,target,4,1453,121,1680
6.05654761905,0.0565476190476,1050,6,0,-,target,6,638,102,1680
5.84077380952,-0.159226190476,1050,8,2,-,target,6,774,102,1680
3.75744047619,-0.24255952381,1050,5,1,-,target,4,1022,102,1680
5.63988095238,-0.360119047619,1050,3,3,+,filler,6,918,102,1680
2.55952380952,-0.440476190476,1050,3,0,+,target,3,1037,102,1680
8.66071428571,-0.339285714286,1050,5,4,+,filler,9,1350,102,1680
3.90625,-0.09375,1050,4,0,-,target,4,1446,102,1680
6.39136904762,0.391369047619,1050,2,4,+,filler,6,1301,102,1680
3.23660714286,0.236607142857,1050,3,0,-,target,3,917,102,1680
8.0431547619,0.0431547619048,1050,4,4,+,filler,8,2038,102,1680
9.41964285714,0.419642857143,1050,4,5,+,filler,9,1237,102,1680
6.56994047619,-0.43005952381,1050,7,0,-,target,7,1486,102,1680
7.87946428571,-0.120535714286,1050,8,0,-,target,8,1430,102,1680
5.75148809524,-0.248511904762,1050,7,1,-,target,6,1118,102,1680
9.26339285714,0.263392857143,1050,5,4,+,filler,9,1301,102,1680
3.8244047619,-0.175595238095,1050,6,2,-,target,4,1438,102,1680
6.12351190476,0.123511904762,1050,6,0,+,target,6,926,102,1680
1.06398809524,0.0639880952381,1050,6,5,-,filler,1,1086,102,1680
3.23660714286,-0.763392857143,1050,2,2,+,target,4,1038,102,1680
1.875,0.875,1050,5,4,-,filler,1,1782,102,1680
6.3318452381,0.331845238095,1050,5,1,+,target,6,1046,102,1680
0.997023809524,-0.00297619047619,1050,6,5,-,filler,1,918,102,1680
2.1056547619,0.105654761905,1050,7,5,-,filler,2,950,102,1680
6.12351190476,0.123511904762,1050,5,1,+,target,6,910,102,1680
3.45982142857,-0.540178571429,1050,2,2,+,target,4,982,102,1680
3.48958333333,-0.510416666667,1050,6,2,-,target,4,1102,102,1680
1.61458333333,-0.385416666667,1050,7,5,-,filler,2,1071,102,1680
6.31696428571,-0.683035714286,1050,2,5,+,filler,7,982,102,1680
6.49553571429,-0.504464285714,1050,7,0,+,target,7,1022,102,1680
2.45535714286,-0.544642857143,1050,3,0,-,target,3,982,102,1680
2.20982142857,-0.790178571429,1050,3,0,+,target,3,894,102,1680
0.840773809524,-1.15922619048,1050,2,0,-,target,2,966,102,1680
8.6755952381,-0.324404761905,1050,4,5,+,filler,9,1742,102,1680
2.68601190476,-0.313988095238,1050,7,4,-,filler,3,1038,102,1680
7.44791666667,-0.552083333333,1050,3,5,+,filler,8,958,102,1680
6.07886904762,0.078869047619,1050,7,1,-,target,6,1214,102,1680
6.22767857143,0.227678571429,1050,8,2,-,target,6,1349,102,1680
5.95982142857,-0.0401785714286,1050,4,2,+,target,6,1046,102,1680
6.21279761905,0.212797619048,1050,4,2,+,target,6,958,102,1680
2.43303571429,-1.56696428571,1050,3,1,+,target,4,1014,102,1680
7.1056547619,-0.894345238095,1050,3,5,+,filler,8,1374,102,1680
8.19196428571,0.191964285714,1050,8,0,+,target,8,926,102,1680
1.71875,-0.28125,1050,2,0,-,target,2,1054,102,1680
6.70386904762,-0.296130952381,1050,3,4,+,filler,7,1054,102,1680
1.99404761905,-0.00595238095238,1050,6,4,-,filler,2,885,102,1680
0.751488095238,-0.248511904762,1050,5,4,-,filler,1,2054,102,1680
2.75297619048,-1.24702380952,1050,3,1,+,target,4,1158,102,1680
1.19791666667,-0.802083333333,1050,6,4,-,filler,2,926,102,1680
2.15773809524,0.157738095238,1050,2,0,+,target,2,990,102,1680
4.12946428571,0.129464285714,1050,4,0,-,target,4,1405,102,1680
7.05357142857,0.0535714285714,1050,7,0,+,target,7,1590,102,1680
6.70386904762,-0.296130952381,1050,7,0,-,target,7,982,102,1680
8.30357142857,0.303571428571,1050,4,4,+,filler,8,1918,102,1680
2.32142857143,-0.678571428571,1050,8,5,-,filler,3,982,102,1680
3.40029761905,-0.599702380952,1050,7,3,-,filler,4,1077,102,1680
3.33333333333,0.333333333333,1050,7,4,-,filler,3,830,102,1680
3.95089285714,-0.0491071428571,1050,8,4,-,filler,4,998,102,1680
2.06845238095,-0.931547619048,1050,8,5,-,filler,3,950,102,1680
3.38541666667,-0.614583333333,1050,7,3,-,filler,4,998,102,1680
5.9375,-0.0625,1050,3,3,+,filler,6,1238,102,1680
8.25148809524,0.251488095238,1050,8,0,+,target,8,869,102,1680
4.04017857143,0.0401785714286,1050,5,1,-,target,4,2094,102,1680
3.78720238095,-0.212797619048,1050,4,0,+,target,4,1069,102,1680
7.74553571429,-0.254464285714,1050,8,0,-,target,8,1397,102,1680
2.34375,0.34375,1050,2,0,+,target,2,766,102,1680
3.60863095238,-0.391369047619,1050,8,4,-,filler,4,950,102,1680
3.71279761905,-0.287202380952,1050,4,0,+,target,4,1206,102,1680
6.42113095238,0.421130952381,1050,2,4,+,filler,6,1014,102,1680
6.19791666667,0.197916666667,1050,6,0,-,target,6,853,102,1680
7.19494047619,0.19494047619,1050,2,5,+,filler,7,1014,102,1680
6.14583333333,0.145833333333,1050,6,0,+,target,6,1510,102,1680
7.01636904762,0.016369047619,1050,3,4,+,filler,7,846,102,1680
6.49553571429,-0.504464285714,1050,3,4,+,filler,7,1014,102,1680
5.69196428571,-0.308035714286,1050,3,3,+,filler,6,982,102,1680
3.99553571429,-0.00446428571429,1050,5,1,-,target,4,1142,102,1680
4.1443452381,0.144345238095,1050,3,1,+,target,4,749,102,1680
3.29613095238,0.296130952381,1050,3,0,+,target,3,830,102,1680
3.99553571429,-0.00446428571429,1050,4,0,+,target,4,838,102,1680
3.90625,-0.09375,1050,5,1,-,target,4,773,102,1680
5.8556547619,-0.144345238095,1050,7,1,-,target,6,990,102,1680
5.95982142857,-0.0401785714286,1050,4,2,+,target,6,950,102,1680
3.93601190476,-0.0639880952381,1050,2,2,+,target,4,1071,102,1680
1.52529761905,-0.474702380952,1050,7,5,-,filler,2,1278,102,1680
6.54017857143,-0.459821428571,1050,2,5,+,filler,7,1142,102,1680
6.94196428571,-1.05803571429,1050,8,0,-,target,8,734,102,1680
8.02827380952,0.0282738095238,1050,8,0,+,target,8,781,102,1680
5.95982142857,-0.0401785714286,1050,5,1,+,target,6,1287,102,1680
6.27232142857,0.272321428571,1050,6,0,+,target,6,950,102,1680
7.01636904762,0.016369047619,1050,7,0,-,target,7,1406,102,1680
1.53273809524,-0.467261904762,1050,2,0,-,target,2,1485,102,1680
8.80208333333,-0.197916666667,1050,5,4,+,filler,9,1166,102,1680
2.79017857143,-0.209821428571,1050,3,0,-,target,3,1150,102,1680
0.93005952381,-1.06994047619,1050,6,4,-,filler,2,1222,102,1680
0.513392857143,-0.486607142857,1050,6,5,-,filler,1,1061,102,1680
6.57738095238,-0.422619047619,1050,3,4,+,filler,7,1151,102,1680
